"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 07 11:34:07 UTC 2022","Sun Aug 07 11:34:07 UTC 2022","783","tests","test_catalog_page","","","","test_catalogs_page[/mp3-players]","Проверяет общие элементы для разных категорий"
"passed","Sun Aug 07 11:32:26 UTC 2022","Sun Aug 07 11:32:27 UTC 2022","425","tests","test_admin_page","","","","test_login_page_admin",""
"passed","Sun Aug 07 11:35:23 UTC 2022","Sun Aug 07 11:35:34 UTC 2022","10280","tests","test_registration","","","","test_registration_page",""
"passed","Sun Aug 07 11:34:33 UTC 2022","Sun Aug 07 11:34:33 UTC 2022","18","tests","test_main_page","Test_main_page","","","test_main_page_menu",""
"passed","Sun Aug 07 11:34:18 UTC 2022","Sun Aug 07 11:34:18 UTC 2022","617","tests","test_catalog_page","","","","test_catalogs_page[/laptop-notebook]","Проверяет общие элементы для разных категорий"
"passed","Sun Aug 07 11:32:30 UTC 2022","Sun Aug 07 11:32:51 UTC 2022","21149","tests","test_admin_page","","","","test_add_new_item",""
"passed","Sun Aug 07 11:33:37 UTC 2022","Sun Aug 07 11:33:49 UTC 2022","11785","tests","test_card","","","","test_main_page_featured[//*[@id='content']/div[2]/div[3]/div/div[2]/h4/a]",""
"passed","Sun Aug 07 11:34:42 UTC 2022","Sun Aug 07 11:35:21 UTC 2022","38802","tests","test_main_page","Test_main_page","","","test_main_page_open_product",""
"passed","Sun Aug 07 11:32:54 UTC 2022","Sun Aug 07 11:33:04 UTC 2022","10069","tests","test_admin_page","","","","test_del_item",""
"passed","Sun Aug 07 11:34:21 UTC 2022","Sun Aug 07 11:34:21 UTC 2022","459","tests","test_catalog_page","","","","test_catalogs_page[/camera]","Проверяет общие элементы для разных категорий"
"passed","Sun Aug 07 11:34:00 UTC 2022","Sun Aug 07 11:34:00 UTC 2022","531","tests","test_catalog_page","","","","test_catalogs_page[/smartphone]","Проверяет общие элементы для разных категорий"
"passed","Sun Aug 07 11:34:31 UTC 2022","Sun Aug 07 11:34:31 UTC 2022","48","tests","test_main_page","Test_main_page","","","test_check_shopping_cart",""
"passed","Sun Aug 07 11:34:11 UTC 2022","Sun Aug 07 11:34:11 UTC 2022","599","tests","test_catalog_page","","","","test_catalogs_page[/desktops]","Проверяет общие элементы для разных категорий"
"passed","Sun Aug 07 11:34:03 UTC 2022","Sun Aug 07 11:34:04 UTC 2022","640","tests","test_catalog_page","","","","test_catalogs_page[/component/monitor]","Проверяет общие элементы для разных категорий"
"passed","Sun Aug 07 11:33:53 UTC 2022","Sun Aug 07 11:33:57 UTC 2022","4235","tests","test_card","","","","test_main_page_featured[//*[@id='content']/div[2]/div[4]/div/div[2]/h4/a]",""
"passed","Sun Aug 07 11:34:39 UTC 2022","Sun Aug 07 11:34:39 UTC 2022","39","tests","test_main_page","Test_main_page","","","test_main_page_footer_blocks",""
"passed","Sun Aug 07 11:34:36 UTC 2022","Sun Aug 07 11:34:36 UTC 2022","27","tests","test_main_page","Test_main_page","","","test_main_page_fetured_items",""
"passed","Sun Aug 07 11:34:14 UTC 2022","Sun Aug 07 11:34:15 UTC 2022","594","tests","test_catalog_page","","","","test_catalogs_page[/tablet]","Проверяет общие элементы для разных категорий"
"passed","Sun Aug 07 11:33:22 UTC 2022","Sun Aug 07 11:33:34 UTC 2022","11866","tests","test_card","","","","test_main_page_featured[//*[@id='content']/div[2]/div[2]/div/div[2]/h4/a]",""
"passed","Sun Aug 07 11:34:24 UTC 2022","Sun Aug 07 11:34:25 UTC 2022","1103","tests","test_change_currency","","","","test_catalogs_page","Изменние валюты на странице"
"passed","Sun Aug 07 11:34:28 UTC 2022","Sun Aug 07 11:34:28 UTC 2022","52","tests","test_main_page","Test_main_page","","","test_check_slider",""
"passed","Sun Aug 07 11:33:07 UTC 2022","Sun Aug 07 11:33:19 UTC 2022","12039","tests","test_card","","","","test_main_page_featured[//*[@id='content']/div[2]/div[1]/div/div[2]/h4/a]",""
